fonte,titolo,data,link,visto_il
CNBC Markets,"Job seekers giving up: Labor force participation rate falls to lowest in 50 years, ou","Thu, 09 Jul 2026",https://www.cnbc.com/2026/07/02/job-seekers-giving-up-labor-force-participation-rate-falls-to-lowest-in-50-years-outside-of-covid-era.html,2026-07-10T13:02:16
CNBC Markets,"U.S. job creation cools in June with payrolls growth of just 57,000; unemployment rat","Thu, 02 Jul 2026",https://www.cnbc.com/2026/07/02/jobs-report-june-2026-.html,2026-07-10T13:02:16
CNBC Markets,"Europe wants to rebalance trade with Beijing, but can't quit Chinese air conditioners","Thu, 02 Jul 2026",https://www.cnbc.com/2026/07/02/european-union-china-meeting-summer-heatwave-trade-imbalance-tariffs-.html,2026-07-10T13:02:16
CNBC Finance,"Kevin Warsh names members of his Federal Reserve task forces, including Marc Andreess","Thu, 09 Jul 2026",https://www.cnbc.com/2026/07/09/kevin-warsh-names-members-of-his-federal-reserve-task-forces-including-marc-andreessen-doug-mcmillon.html,2026-07-10T13:02:16
CNBC Finance,Prediction markets spark insider trading concerns. Here's how Goldman and other compa,"Thu, 09 Jul 2026",https://www.cnbc.com/2026/07/09/prediction-markets-spark-insider-trading-fears-how-firms-are-responding.html,2026-07-10T13:02:16
CNBC Finance,Kalshi traders think gas prices will stay higher for longer as U.S.-Iran tensions hea,"Thu, 09 Jul 2026",https://www.cnbc.com/2026/07/09/kalshi-traders-see-higher-gas-prices-lasting-through-election-day.html,2026-07-10T13:02:16
CNBC Finance,"Stocks making the biggest moves midday: Micron, Paramount Skydance, Mara Holdings, Pe","Thu, 09 Jul 2026",https://www.cnbc.com/2026/07/09/stocks-making-the-biggest-moves-midday-mu-psky-mara-pep.html,2026-07-10T13:02:16
CNBC Finance,"Goldman Sachs wins $70 billion in asset management deals with Verizon, Lockheed Marti","Thu, 09 Jul 2026",https://www.cnbc.com/2026/07/09/goldman-sachs-asset-management-deals-verizon-lockheed-martin.html,2026-07-10T13:02:16
MarketWatch,"‘I get $1,460 in Social Security’: My millionaire ex-husband, 74, refuses to pay alim","Fri, 10 Jul 2026",https://www.marketwatch.com/story/i-get-1-460-in-social-security-my-millionaire-ex-husband-74-refuses-to-pay-alimony-what-can-i-do-c5e60824?mod=mw_rss_topstories,2026-07-10T13:02:16
MarketWatch,"As AI spending concerns grow, here’s the bet to make ahead of critical stress test, s","Fri, 10 Jul 2026",https://www.marketwatch.com/story/as-ai-spending-concerns-grow-heres-the-bet-to-make-ahead-of-critical-stress-test-says-veteran-jefferies-strategist-4503ba4f?mod=mw_rss_topstories,2026-07-10T13:02:16
MarketWatch,"My insurance company said my roof lost a few tiles. Loss adjusters found $10,000 in s","Fri, 10 Jul 2026",https://www.marketwatch.com/story/my-insurance-company-said-my-roof-lost-a-few-tiles-loss-adjusters-found-10-000-in-storm-damage-how-could-this-happen-8e1cb8bf?mod=mw_rss_topstories,2026-07-10T13:02:16
MarketWatch,SK Hynix raises $26.5 billion in U.S. offering. What to know about the stock.,"Fri, 10 Jul 2026",https://www.marketwatch.com/story/sk-hynix-is-about-to-hit-the-u-s-market-heres-what-to-know-about-the-deal-1c873fa4?mod=mw_rss_topstories,2026-07-10T13:02:16
MarketWatch,Bidding war breaks out for easyJet as Apollo tops rival private-equity group’s bid,"Fri, 10 Jul 2026",https://www.marketwatch.com/story/bidding-war-breaks-out-for-easyjet-as-apollo-tops-rival-private-equity-groups-bid-d75ffd3c?mod=mw_rss_topstories,2026-07-10T13:02:16
FT Markets,IEA warns of petrol and diesel supply crunch,"Fri, 10 Jul 2026",https://www.ft.com/content/54261075-72c5-4b47-9d53-8c94738201e3,2026-07-10T13:02:16
FT Markets,Bayer sells stake in contraceptives business to Apollo in €3bn financing deal,"Fri, 10 Jul 2026",https://www.ft.com/content/2ac9c03f-f810-4514-a11e-5802e86c0d12,2026-07-10T13:02:16
FT Markets,EasyJet: orange upstart that changed flying prepares to go private,"Fri, 10 Jul 2026",https://www.ft.com/content/d16e92f7-268a-4d46-9525-483318c9ba4b,2026-07-10T13:02:16
FT Markets,Apollo trumps Castlelake with £5.7bn deal to buy easyJet,"Fri, 10 Jul 2026",https://www.ft.com/content/7a6d7e59-a040-41cf-a8b5-2aafcaa1731b,2026-07-10T13:02:16
FT Markets,SK Hynix raises $26.5bn in US market debut,"Fri, 10 Jul 2026",https://www.ft.com/content/33133a86-925e-4395-9f60-35e2a4052500,2026-07-10T13:02:16
Economist Fin.,China may struggle to fund Xi Jinping’s tech dreams,"Thu, 09 Jul 2026",https://www.economist.com/finance-and-economics/2026/07/09/china-may-struggle-to-fund-xi-jinpings-tech-dreams,2026-07-10T13:02:16
Economist Fin.,An ageing society might not cost too much,"Thu, 09 Jul 2026",https://www.economist.com/finance-and-economics/2026/07/09/an-ageing-society-might-not-cost-too-much,2026-07-10T13:02:16
Economist Fin.,Three ways the LNG market could crack before winter,"Wed, 08 Jul 2026",https://www.economist.com/finance-and-economics/2026/07/08/three-ways-the-lng-market-could-crack-before-winter,2026-07-10T13:02:16
Economist Fin.,AI has taken over the stock market. The bond market is next,"Tue, 07 Jul 2026",https://www.economist.com/finance-and-economics/2026/07/07/ai-has-taken-over-the-stock-market-the-bond-market-is-next,2026-07-10T13:02:16
Economist Fin.,Europe’s economy is a mess. Its stock markets are a steal,"Tue, 07 Jul 2026",https://www.economist.com/finance-and-economics/2026/07/07/europes-economy-is-a-mess-its-stock-markets-are-a-steal,2026-07-10T13:02:16
Klement Investing,There is never good news in Iran,"Fri, 10 Jul 2026",https://klementoninvesting.substack.com/p/there-is-never-good-news-in-iran,2026-07-10T13:02:16
Klement Investing,The hidden risks from synthetic risk transfers,"Thu, 09 Jul 2026",https://klementoninvesting.substack.com/p/the-hidden-risks-from-synthetic-risk,2026-07-10T13:02:16
Klement Investing,A blessing in disguise for the EU?,"Wed, 08 Jul 2026",https://klementoninvesting.substack.com/p/a-blessing-in-disguise-for-the-eu,2026-07-10T13:02:16
Klement Investing,Momentum crash warnings flash red. Here’s how you might survive,"Tue, 07 Jul 2026",https://klementoninvesting.substack.com/p/momentum-crash-warnings-flash-red,2026-07-10T13:02:16
Klement Investing,Globalisation in the 2020s,"Tue, 07 Jul 2026",https://klementoninvesting.substack.com/p/globalisation-in-the-2020s,2026-07-10T13:02:16
Abnormal Returns,Thursday links: a smartphone replacement,"Thu, 09 Jul 2026",https://abnormalreturns.com/2026/07/09/thursday-links-a-smartphone-replacement/,2026-07-10T13:02:16
Abnormal Returns,Longform links: expensive promises,"Thu, 09 Jul 2026",https://abnormalreturns.com/2026/07/09/longform-links-expensive-promises/,2026-07-10T13:02:16
Abnormal Returns,Wednesday links: making cool stuff,"Wed, 08 Jul 2026",https://abnormalreturns.com/2026/07/08/wednesday-links-making-cool-stuff/,2026-07-10T13:02:16
Abnormal Returns,Personal finance links: buying permission,"Wed, 08 Jul 2026",https://abnormalreturns.com/2026/07/08/personal-finance-links-buying-permission/,2026-07-10T13:02:16
Abnormal Returns,Tuesday links: right on paper,"Tue, 07 Jul 2026",https://abnormalreturns.com/2026/07/07/tuesday-links-right-on-paper/,2026-07-10T13:02:16
FRED Blog,Primary deficits: a short history,"Thu, 09 Jul 2026",https://fredblog.stlouisfed.org/2026/07/primary-deficits-a-short-history/,2026-07-10T13:02:16
FRED Blog,What US assets are held overseas?,"Mon, 06 Jul 2026",https://fredblog.stlouisfed.org/2026/07/what-us-assets-are-held-overseas/,2026-07-10T13:02:16
FRED Blog,Durable goods inflation and effective tariffs,"Thu, 02 Jul 2026",https://fredblog.stlouisfed.org/2026/07/durable-goods-inflation-and-effective-tariffs/,2026-07-10T13:02:16
FRED Blog,AI investment and semiconductor prices,"Mon, 29 Jun 2026",https://fredblog.stlouisfed.org/2026/06/ai-investment-and-semiconductor-prices/,2026-07-10T13:02:16
FRED Blog,Are Americans optimistic about their finances? : Data from the Bankrate Consumer Surv,"Thu, 25 Jun 2026",https://fredblog.stlouisfed.org/2026/06/are-americans-optimistic-about-their-finances/,2026-07-10T13:02:16
